Close,High,Low,Open,Volume
1561.0006103515625,1566.9072363161351,1546.3979792962905,1555.4220523850222,1094883
1577.818115234375,1586.9651632531084,1558.7034486750615,1562.8052998557853,2100463
1558.6622314453125,1595.5788883139724,1553.042715928318,1574.2903229101817,2611668
1539.71142578125,1559.6874153994174,1510.3011810937842,1558.7030114493155,4280862
1556.9803466796875,1565.9224003035415,1543.1160727281522,1551.9761093751106,1856423
1553.4114990234375,1563.9532324461793,1545.0027073599458,1563.13286252779,1691756
1547.9976806640625,1574.2905885497728,1531.385182270038,1564.7743132020141,2414376
1549.3099365234375,1562.804984124493,1535.8147887795512,1550.4994330683949,3053461
1511.5736083984375,1538.1945893679479,1505.3797714614318,1534.0927371296334,9209862
1487.53662109375,1518.505603554133,1484.8704173057702,1517.6852331578314,3615370
1532.287841796875,1533.5593558051125,1483.229652824407,1484.8703935908056,7711653
1534.21533203125,1538.194107427226,1515.223742089646,1534.0922564740868,2359280
1557.3580322265625,1560.3998674838283,1538.449077035768,1543.9572977527025,2625816
1562.57861328125,1565.497109353236,1542.3131249106864,1546.4237675676977,1683728
1569.1966552734375,1588.3522898017213,1558.3034524577683,1563.6884343700176,2409803
1563.6065673828125,1577.0483513223214,1553.823215951616,1567.8815964053913,2457093
1541.9842529296875,1567.0591731293762,1537.3803532268157,1562.866337692073,2578169
1563.3187255859375,1566.360561352664,1541.491170469096,1549.548071129747,1962927
1579.144775390625,1590.818962257472,1562.8665877268497,1563.688716389515,2327080
1607.2613525390625,1613.0162525225783,1583.0085597513887,1589.1745240194414,2769033
1630.0751953125,1635.254644725681,1592.175093581496,1613.0160298590972,2557626
1628.9654541015625,1635.62467497871,1606.9735164007934,1627.485582636648,2429575
1655.8489990234375,1660.4940451402576,1631.9250796402582,1633.5693366474525,4094319
1668.8797607421875,1672.8260178088742,1642.6949872679359,1652.067272533202,3064163
1685.5693359375,1689.844364955271,1663.1663292776796,1668.8800834937877,1590764
1680.8826904296875,1689.4738922203737,1667.2764250233179,1685.3632501468448,1111404
1705.7528076171875,1715.659499412432,1678.0059617032423,1685.2816808694358,1789812
1712.41162109375,1724.7846969589466,1699.3398563310477,1705.711353131515,1339945
1694.7357177734375,1717.8376103838057,1686.1856611137523,1705.9167463730064,1684474
1698.435791015625,1723.1819479395117,1684.459601552375,1693.5853114291,1778730
1686.67919921875,1701.806285918694,1659.0555966105915,1701.806285918694,2422903
1680.9239501953125,1705.9166772491587,1671.4284260135494,1693.6258960307673,1724085
1668.6744384765625,1687.0079470499786,1653.2595266796877,1684.5415611624785,1930065
1619.8402099609375,1678.7456507465733,1613.5509053646902,1675.169410990278,2942184
1565.9903564453125,1620.4152212473089,1555.4670718416583,1619.5930927738198,4408554
1574.1707763671875,1589.8323667333464,1546.6706141498355,1574.3763085223472,4645778
1573.7186279296875,1594.9295873268284,1559.6192018122583,1574.1708388319817,4683919
1583.1319580078125,1586.708197344837,1566.2371751417904,1576.1849111261838,2271955
1632.048583984375,1636.0358875584334,1587.119236649023,1588.7634938224485,2934880
1676.073486328125,1681.3762758533276,1621.4430826422083,1631.103093402024,6453309
1692.02294921875,1705.8756956774275,1662.3440265205911,1677.1423412967388,4732082
1630.65087890625,1702.916100943261,1625.8414468229485,1693.584861348382,8454295
1640.4752197265625,1648.367633210588,1628.102145728298,1640.1874948246805,4148548
1634.4739990234375,1650.0122510555511,1625.0195192590434,1648.3679937052218,2449622
1643.9285888671875,1656.5893913840066,1631.96667605706,1635.4607231604755,2635047
1655.1912841796875,1664.0291652075493,1644.4213209667282,1648.3675777547187,2539884
1662.91943359375,1671.387398085137,1652.5195873741968,1664.810369465028,2031071
1656.4248046875,1671.3875056179122,1647.2580503869597,1668.0167983047425,3111689
1654.4927978515625,1664.6461671878437,1646.7237220815978,1655.8082840064271,2658550
1644.66796875,1657.3287669863294,1626.6633355739682,1654.9445744032741,1833163
1633.8983154296875,1650.6697580760606,1628.6366725896012,1648.3266114009316,1905495
1677.1015625,1700.9432970898906,1636.8583989128297,1643.3532363381307,5184318
1663.00146484375,1697.3664741149253,1653.3003090138557,1679.6084193512218,2349915
1663.00146484375,1668.920749526667,1640.2284466184815,1668.920749526667,2373993
1656.6302490234375,1681.0885744814625,1644.2571736487334,1667.2767740798158,3091165
1648.90234375,1657.4113551895173,1630.5277885295925,1656.5892265411098,3148149
1631.308837890625,1650.6700085022294,1625.5127905372772,1650.6700085022294,2429205
1629.9930419921875,1640.1051620261671,1609.768701566748,1631.1028953625964,2316539
1617.8671875,1642.6132428081394,1612.194479052433,1639.3247278075225,2266166
1644.50390625,1656.2602852122905,1621.8953693715605,1627.8146552476442,4054489
1670.27734375,1677.1009499084262,1651.039517277757,1652.4782421154198,2095740
1709.4521484375,1714.960370269959,1674.6760662703289,1674.758259064134,3719663
1709.4521484375,1717.9201137069533,1692.0230611357626,1714.1382416169051,2939886
1656.177978515625,1709.7807203032417,1650.3408858308753,1708.5063808965576,4397518
1683.9661865234375,1688.9810509564757,1659.7133908791359,1667.8113381668343,3152103
1702.4227294921875,1705.9167759006586,1671.1406973862897,1692.762718833473,2194294
1719.481689453125,1724.8255244908707,1691.6525605474965,1701.8059274051966,2690970
1677.347900390625,1714.5492200782494,1673.8538537901297,1712.4938985485464,3313062
1660.288818359375,1689.474385604613,1655.4793858003222,1681.2530990566586,3422442
1656.177978515625,1676.3201281674656,1650.0120143364902,1675.4979996102477,3198471
1737.404052734375,1742.7478875339038,1677.9641270520121,1701.8058515422172,9189201
1752.6136474609375,1772.4679712544714,1739.2540587945914,1742.9124906248421,5771952
1767.6177978515625,1771.687294649868,1738.1444045663955,1767.4943581213056,3413728
1776.9901123046875,1788.9521255297038,1763.9594922972833,1765.9325209732554,2007135
1771.7279052734375,1780.319107185441,1754.4632083208194,1778.263786119653,2163524
1795.076904296875,1804.572531106979,1772.5918043496783,1774.153768623627,3003071
1804.5721435546875,1812.7934289467362,1782.4158195661114,1788.1295727705901,4211526
1840.3760986328125,1844.8155129821102,1803.0513381218684,1811.149385474105,2716958
1858.2984619140625,1863.724390246873,1833.429071755791,1840.3760182851036,3488395
1821.3433837890625,1857.5170374946244,1817.8083918398083,1853.899752410054,2457699
1752.7783203125,1797.2144149643618,1747.0234196360518,1796.3511397198934,3780886
1774.0302734375,1779.9084126204355,1733.4581468869228,1734.6913397825028,2891422
1769.1795654296875,1795.8166519687445,1758.3686548407636,1775.8388872431983,2201698
1769.9197998046875,1782.374968955806,1751.46285046282,1768.3987814686066,1824895
1786.1158447265625,1795.6114718723709,1756.1492921204615,1763.466157663451,2264162
1755.9019775390625,1802.1055561251942,1747.7218396330359,1788.1293725238581,2039633
1750.1064453125,1781.5528676416618,1744.2692513392524,1753.6004922379625,1701744
1720.1806640625,1775.6331917861282,1703.7380939019006,1755.2443646439913,2456110
1722.6878662109375,1746.2008200627351,1713.7267464316249,1724.00335201109,2346876
1733.6636962890625,1746.2011575188944,1707.602259646115,1723.1815565723177,1946529
1722.72900390625,1755.244223935254,1718.2484440396631,1736.8286271176516,1947908
1762.6024169921875,1768.7272343811585,1685.3634819501963,1747.02312153374,2625116
1734.48583984375,1766.5077091506455,1728.566553978039,1765.9734058386343,1863157
1711.46630859375,1744.515840015764,1705.9169402339528,1734.6914428403086,2595795
1688.693359375,1739.0898847393535,1685.3636982671312,1724.825872665581,2541294
1683.7193603515625,1701.806189417839,1670.7708349972963,1701.806189417839,2274208
1689.5972900390625,1700.9427033715965,1677.2243164490158,1689.3096654958424,2329820
1704.889404296875,1724.414961067002,1681.253203996195,1693.5851345878543,5872979
1732.6773681640625,1745.9546662783514,1707.6435895894824,1710.0276825146757,3281320
1764.53466796875,1772.9614861839175,1738.3086449969412,1745.379031297615,4971725
1805.8463134765625,1812.7521122718674,1769.4259824644005,1775.79747804535,4265370
1843.4591064453125,1847.8573742804676,1796.8853981351065,1809.5051531603217,3682419
1809.3133544921875,1843.210444042694,1802.6001419931922,1843.210444042694,2408658
1795.2239990234375,1822.490834160435,1783.5380969137136,1822.490834160435,3735467
1808.1944580078125,1814.8661911017546,1775.3333448287042,1801.771399889531,2659446
1849.4263916015625,1853.0316729869594,1811.3024328233096,1820.5847475362445,2080593
1867.0799560546875,1876.3207935576925,1849.012469670719,1853.9851612072605,3048937
1873.79248046875,1878.7651707108778,1839.066607880271,1860.6149322628248,2404448
1868.15673828125,1893.7660095091474,1858.998660874633,1876.3615954173786,3320916
1868.488037109375,1875.6156394995614,1851.498015037633,1870.767186411682,2131408
1864.095458984375,1874.7039035038824,1857.6724018437228,1869.731214104668,1489497
1865.462890625,1873.0461602940381,1849.1772130047461,1859.785656504346,1877447
1872.963623046875,1886.3070889262199,1859.081530015454,1868.9026737823488,1652817
1887.9229736328125,1892.9371426966857,1833.2648684960898,1848.1829370462387,2199377
1864.63427734375,1899.9817300110924,1858.1282611493432,1893.7658682989513,3871804
1885.8927001953125,1889.6222177303066,1865.4218333044228,1868.1981305102415,1382424
1879.5111083984375,1885.0224255585645,1865.173145064722,1881.3343876013857,1386077
1868.239013671875,1878.6817403719817,1864.7581722182433,1877.189893366365,1762224
1866.8721923828125,1876.3617020423358,1857.5483985895366,1868.9026670077153,2813464
1845.8623046875,1874.6624647513238,1841.9670717078695,1873.0463811292623,2372928
1856.0982666015625,1868.9029045707837,1828.7899475547408,1852.3272690535262,2769940
1866.4993896484375,1870.5603391344146,1836.9531999727599,1860.531999402277,1771746
1854.5234375,1872.0522932520764,1849.840901458461,1866.5822526615068,1656881
1858.66650390625,1866.4156908407608,1848.26545932999,1851.4976258162787,984140
1792.737548828125,1864.7585884877956,1773.5926130506145,1862.2722437031453,4088470
1802.9317626953125,1814.0375597009206,1767.0456743004895,1781.0520051315098,2788062
1768.081298828125,1802.1026214737863,1744.2123483945852,1801.7711897710765,3977224
1747.237548828125,1763.5232307238998,1716.6555848700798,1723.865945230833,6343581
1742.55517578125,1764.476413441871,1728.88027638163,1763.647631660076,2400346
1746.7401123046875,1756.8097274124175,1734.7227795779602,1742.1818136842046,1560725
1778.3170166015625,1784.8645140366702,1738.784166347415,1761.1612743032683,2900415
1749.4912109375,1771.5052266496764,1744.5069054932335,1766.105562418388,2735399
1758.8363037109375,1765.274363153025,1737.9438435494203,1751.152168247801,1802969
1716.220703125,1757.9642556651343,1711.2779747796387,1757.9642556651343,3072096
1725.3583984375,1742.0143222430634,1713.354573021611,1725.3999748683084,1953177
1752.73046875,1759.0024253517822,1718.5881070967403,1725.3999488553195,1920167
1754.848876953125,1769.4280074359194,1746.5001267782034,1767.6834198249715,3538588
1741.848388671875,1761.785607459851,1724.98478388467,1752.8138184428865,2413196
1767.68359375,1773.5817688131935,1738.3178533633352,1751.8999620837467,2544464
1752.02490234375,1769.2622916336973,1740.3532801175736,1769.2622916336973,1720592
1769.4281005859375,1779.3967096033232,1747.2479860846286,1753.4783667204945,1647090
1810.2578125,1815.1175906064645,1761.4947397586677,1769.4281318040134,2851672
1832.3133544921875,1837.297658962572,1783.6748094729771,1804.1105389263014,3000677
1811.0052490234375,1842.1155706348127,1799.5413099831626,1827.5780182171761,2375236
1831.9813232421875,1835.885654887036,1798.9187265420255,1805.1491077237688,2500816
1867.95166015625,1870.9836982449801,1823.9236277411167,1827.4955511403618,3039682
1839.956298828125,1870.7344259304207,1837.0903637207987,1854.826265294339,2885467
1838.7515869140625,1859.5611005922929,1833.60117904058,1852.500001930227,2165362
1875.8431396484375,1894.8664879733096,1843.2788536249107,1851.58602805706,2073298
1865.9990234375,1883.9839746365894,1861.92858916332,1877.4213880773511,1744550
1827.12109375,1865.998703289075,1822.8429808527255,1864.960306681791,1647281
1831.2333984375,1842.4067099793715,1800.496853915724,1811.8778448124722,1945002
1798.58642578125,1861.9700047433744,1780.4351684379667,1861.9700047433744,3755507
1796.8416748046875,1815.948174351848,1792.4388321727529,1810.963870122154,974884
1816.5714111328125,1831.7320048235288,1799.7493825170861,1804.3183285608636,1843611
1816.1143798828125,1829.2397556583571,1812.8330866418937,1815.0759831096186,1214408
