Close,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_macd,trend_macd_signal,trend_macd_diff,momentum_rsi,volatility_bbh,volatility_bbl,volatility_bbw,volatility_atr,volume_obv,return_1d,return_5d,return_10d,Target
591.8623046875,553.4481589577415,553.4481589577415,557.4925949271105,7.2762455528244345,2.882359670349118,4.393885882475317,91.14823295643293,583.1785890890735,523.7177288264095,10.743709108119765,13.820708412685367,87691708,0.03519044928874826,0.08439680106996295,0.09254953673179034,1
600.1708984375,557.3417205810547,557.3417205810547,564.0584877748628,10.141801432931175,4.33424802286553,5.807553410065645,92.3896712700726,595.7770226160003,518.9064185461091,13.792364940803289,13.35095336720686,97350652,0.014038051898552562,0.08977982861114242,0.10126319587851706,0
597.3604736328125,561.9779408772787,560.4200862004207,569.1818702145473,12.04712555477272,5.876823529246968,6.170302025525752,87.89902983719914,603.0639623766914,517.7762100241499,15.21853953001256,12.822278357729749,90446881,-0.004682707562136401,0.07893152293522965,0.09594232256164514,0
595.405517578125,566.1797281901041,562.9190455845425,573.2162775012515,13.246660773451026,7.35079097808778,5.895869795363247,84.81096318473475,607.7892673563553,518.0488238127297,15.941980334035055,12.346470805403108,84544730,-0.0032726571994269316,0.06942198010801737,0.10574055111086134,1
606.8502807617188,571.3284505208334,565.8477945963542,578.3907395413233,14.94848103323261,8.870328989116746,6.078152044115864,87.56517198403672,614.4220502442737,517.2735389484347,17.168664828876736,12.745038524372552,92674152,0.019221795642987205,0.06140500893094658,0.1091262813901901,1
607.1353149414062,577.0507558186849,568.4282646179199,582.8129819105669,16.134200703712054,10.323103332035808,5.8110973716762455,87.62535503334112,619.5313144212054,517.3252148146345,17.980474576729694,12.692380787508295,99397527,0.0004696944019366711,0.025805005882187926,0.1123796669001993,0
595.9756469726562,581.1201731363932,570.0486988740809,584.8380073047346,15.98908789300549,11.456300244229745,4.532787648775745,72.77446613586525,621.2927661906147,518.804631557547,17.97883844581959,12.738678638613184,92185428,-0.018380857930866745,-0.006990094780946143,0.08216216431878731,1
599.5386352539062,585.5985056559244,571.6870286729601,587.0996423738379,15.977410677503144,12.360522330884425,3.616888346618719,74.2736295708441,623.2873052775141,520.0867520684061,18.051931919579197,12.701561970812017,99615211,0.0059784125397550625,0.0036463102552590776,0.08286564201203062,0
598.187255859375,589.5535481770834,573.0817774722451,588.8054290639205,15.678380762916163,13.024094017290773,2.65428674562539,72.6398439806587,624.6813477201123,521.4822072243779,18.007751171381887,12.549400012056182,94072099,-0.002254032209215273,0.004672006219500702,0.07441832625035283,0
596.221435546875,593.1003926595052,574.2387603759765,589.9463531382212,15.108609485670854,13.44099711096679,1.6676123747040634,70.22008034954419,625.5332453103279,522.9442754416252,17.86521164150146,12.40835476066533,86127406,-0.0032862958768251627,-0.01751477349817232,0.0428147406096957,0
596.1806640625,596.3859049479166,575.2836129324777,590.9054778958025,14.486777175848488,13.65015312394313,0.8366240519053569,70.16787274810297,626.8247369823379,527.0982671680528,17.284770206606918,12.50665089268967,79366587,-6.838312402779323e-05,-0.018043178529259962,0.007296223024847004,0
594.54248046875,598.2859090169271,576.1590160023082,591.465016753179,13.703813829610453,13.660885265076596,0.04292856453385774,67.98086736140124,627.5963407016119,531.2825045132319,16.62189910292555,12.378074102921067,73603561,-0.002747797257608209,-0.002404740044641418,-0.009378025464752082,1
613.9129028320312,600.1234588623047,577.800489342731,594.9185376883871,14.479431067895348,13.824594425640347,0.6548366422550007,77.07831078997063,630.5584236769912,535.2051505417587,16.358938509317312,13.220641274691548,87428794,0.032580384076187796,0.02397554841822247,0.027709280961554228,1
620.0556640625,601.7805226643881,579.5611216227213,598.785787899789,15.412121468778196,14.142099834267917,1.2700216345102788,79.1057413758739,632.6596775555663,541.2626979327149,15.571213485872223,13.372852575937845,93705379,0.010005916477942911,0.036557796892058736,0.0414006013660102,0
619.11376953125,603.5932973225912,581.1432275390625,601.9131696892446,15.892088213771558,14.492097510168646,1.3999907036029118,77.96697823659025,634.4483290635791,546.6711594618115,14.863385195913756,13.124892005640806,89759988,-0.0015190483465288285,0.03839569096233064,0.020208425633647442,0
618.2537231445312,605.497314453125,582.570554293119,604.4271009900579,16.018416427987972,14.797361293732513,1.2210551342554599,76.87871046108428,634.5110313003847,553.853965037506,13.57446012150047,12.873063005211112,85065622,-0.001389157258398388,0.03702411099954306,0.018312899825631224,1
625.1744995117188,607.0243326822916,585.7801185021034,607.6190084549288,16.486930192884984,15.135275073563008,1.3516551193219755,79.37367587026361,635.1256629543618,560.6841087741539,12.450400714254808,12.61775221293022,90946104,0.011194071476007261,0.05152200229463477,0.048993365227895325,1
625.7479248046875,608.5753835042318,588.8864206167368,610.4080725087379,16.711857465757475,15.450591552001903,1.2612659137555724,79.5703826916091,634.6292682902192,568.389365742984,11.012282050056267,12.048068300946642,94907901,0.0009172243804196345,0.019278014711957114,0.043715764105313415,0
623.2090454101562,610.8448333740234,591.8919372558594,612.3774529551099,16.495102329375754,15.659493707476674,0.8356086218990804,76.10950395247569,632.1513834711658,577.5127034428966,9.033694662731744,12.26429726739148,88992732,-0.004057351680908372,0.005085642355068254,0.04182935912740926,1
624.7650756835938,612.9470367431641,595.2110689603365,614.2832410671843,16.26142932605319,15.779880831191978,0.48154849486121165,76.77620148200927,631.539630171675,583.4267211466844,7.920039756291734,11.836433296472496,94492948,0.002496803095040745,0.009128057605022333,0.047874226646241747,0
614.6500244140625,614.3189341227213,597.8075068547175,614.3396692743963,15.086138076011025,15.641132280155789,-0.554994204144764,64.22845142432334,631.7524259823493,585.4926973086664,7.600725242359144,12.438290714976727,87182258,-0.016190167573729597,-0.005828834660533522,0.030979468917539776,0
606.1319580078125,615.1448109944662,600.1280188927284,613.0769444641527,13.313900168772761,15.175685857879184,-1.8617856891064228,55.937574216027734,631.758954778868,586.0822744691789,7.501253728762669,12.484452657071746,82571723,-0.013858400826340378,-0.03045956212030254,0.01949310254487635,1
607.6880493164062,616.103759765625,602.318838266226,612.2478836721917,11.897801967846931,14.520109079872734,-2.622307112025803,57.02883585885089,631.6653461212035,587.2086406952027,7.294717240150127,12.374477447656604,88158112,0.0025672484151935127,-0.028861263093949874,-0.010139636236523475,0
