Close,High,Low,Open,Volume
541.725830078125,542.7440351755266,532.8471114590108,538.3861372454661,2943390
544.9840698242188,549.0161718307766,539.2821214520891,542.4996594054854,7416655
545.0656127929688,551.4599213890202,540.1374599847597,547.3871006992933,6827249
538.4676513671875,548.9348311071707,530.2812911477185,547.18349820043,7889310
547.1426391601562,548.6902809028246,538.8340765622733,541.6850505123382,8046340
545.7986450195312,551.8264390227971,544.576798914846,549.7900288483215,8621545
550.7267456054688,561.8862832625952,540.8705402852809,558.9538725093123,18130292
553.6593017578125,555.5327894915728,547.8351477876116,555.2069439217651,9572493
556.7545166015625,558.3836446676972,547.7943122378211,554.0664652358487,12281903
571.742431640625,578.5033021895339,566.8957664045334,575.8966877189687,19312937
591.8623046875,594.6318427460143,576.0597896557134,576.0597896557134,19671304
600.1708984375,600.9854626454003,593.4100254553385,594.5504352332205,9658944
597.3604736328125,601.9627799972801,593.8985767248444,599.3561653231668,6903771
595.405517578125,599.681978232181,591.6177753977177,594.631671897317,5902151
606.8502807617188,611.7376655732226,597.8900752739619,601.3112545854243,8129422
607.1353149414062,610.1084937094522,597.8900325537222,603.7956221123251,6723375
595.9756469726562,604.8950811504975,593.9799556428491,604.6914401927015,7212099
599.5386352539062,602.8966868486704,590.5291748880688,596.3443520371522,7429783
598.187255859375,604.3710624467266,593.1911200634729,596.2625273126797,5543112
596.221435546875,600.0299495856431,588.8910020874954,598.7195028177457,7944693
596.1806640625,600.2348817816172,586.8435657007085,594.2149433578005,6760819
594.54248046875,601.831922713427,590.6110397184234,596.1805641179376,5763026
613.9129028320312,615.3462262893759,594.6244743041215,594.6244743041215,13825233
620.0556640625,624.5194524419586,609.7766981548041,615.387115206831,6276585
619.11376953125,624.519425877129,613.6261790041616,620.0146955921136,3945391
618.2537231445312,622.4308665917667,611.8242645904229,611.8242645904229,4694366
625.1744995117188,628.1640216167368,617.8440665343346,618.8269265408019,5880482
625.7479248046875,630.2117125386012,623.2907994455068,624.9698251095449,3961797
623.2090454101562,632.5051516309277,618.2947936655327,622.4718876523211,5915169
624.7650756835938,629.6383843966678,621.6527268384662,628.1231770612493,5500216
