Date,Close,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_macd,trend_macd_signal,trend_macd_diff,momentum_rsi,volatility_bbh,volatility_bbl,volatility_bbw,volatility_atr,volume_obv,return_1d,return_5d,return_10d,Target
2019-01-15,420.3134460449219,410.7239296653054,410.7239296653054,411.79781445403694,3.738156074807648,2.1171233120365334,1.6210327627711147,72.24850066639404,424.27000945538333,397.1778498752274,6.596197012974877,8.821054214883253,22345969,0.003548786746144117,0.009820298465571975,0.04359362194548311,0
2019-01-16,421.5675659179687,411.62756601969403,411.62756601969403,413.30085314079565,4.2406090179560465,2.5418204532204363,1.6987885647356102,73.44291726705436,425.9150956273167,397.34003641207136,6.941969288295477,8.891145282353527,28225117,0.002983772907690474,0.011253420703441819,0.031246472661295988,0
2019-01-17,396.2530822753906,411.0856679280599,410.4449134239784,410.6781191615026,2.566553694029551,2.5467671013822595,0.019786592647291545,37.94348942031436,426.4313748514772,394.4584519964796,7.789820706578092,11.05834873827224,19881367,-0.06004846124121399,-0.04059842432414962,-0.02189862124116615,1
2019-01-18,362.9959106445313,407.26914469401044,407.05569893973217,403.3423947742762,-1.4272703359418983,1.751959613917428,-3.1792299498593266,22.533528049987396,435.9455666714315,378.16583120803284,14.194552640805405,15.187267888092105,-63024847,-0.0839291178251228,-0.12072442907130965,-0.09923919632657485,1
2019-01-21,370.0095825195313,404.34288024902344,404.58595784505206,398.2142698120078,-3.980574365566838,0.6054528180205749,-4.586027183587413,29.075454534259052,438.06074846781013,371.111167222294,16.547677927852458,15.201345090917878,-14088065,0.01932162779064539,-0.11655772348944293,-0.07544103185409667,1
2019-01-22,389.1929016113281,403.1932779947917,403.62389183044434,396.82636701190324,-4.4053703089123815,-0.3967118073660164,-4.008658501546365,43.203353125288935,436.88138373487004,370.36639992601863,16.479446622251302,16.022223693976237,24167300,0.05184546562597259,-0.074041277352492,-0.06494808632929372,1
2019-01-23,400.3869934082031,403.2087631225586,403.43348604090073,397.3741556882571,-3.7950080094020677,-1.0763710477732267,-2.718636961628841,49.52211454782546,435.73392952096646,371.133042560835,16.012772661509338,16.53341294871704,51088574,0.02876232261824274,-0.050242414792145085,-0.03955439311951625,0
2019-01-24,392.9552001953125,401.26953125,402.8513590494792,396.6943163816502,-3.8664055750944044,-1.6343779532374623,-2.2320276218569424,45.873246376862305,434.6066702046762,371.09604789428215,15.765274432794838,16.8216227852103,32642084,-0.018561525062612994,-0.008322666062660744,-0.048583203258490304,0
2019-01-25,392.3978576660156,399.2296625773112,402.30117476613896,396.03332273309104,-3.9227426095254714,-2.0920508844950643,-1.8306917250304071,45.60188064945668,433.5601048705435,371.0422446617344,15.540064044096136,16.10559104260027,23921111,-0.0014183360571888848,0.08099801171114729,-0.04950485607990196,0
2019-01-28,382.5043029785156,396.6865971883138,401.3113311767578,393.951935078541,-4.711407125993958,-2.615922132794843,-2.095484993199115,40.968859781651005,432.9772235674328,369.64543878608276,15.781210212939524,15.851331916022659,18112029,-0.02521307008745388,0.03376864019008141,-0.08672507912525151,0
