Date,Close,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_macd,trend_macd_signal,trend_macd_diff,momentum_rsi,volatility_bbh,volatility_bbl,volatility_bbw,volatility_atr,volume_obv,return_1d,return_5d,return_10d,Target
2019-01-15,6890.49658203125,6894.486905184659,6894.486905184659,6919.967533774922,-24.431405498908134,-23.92658727931838,-0.5048182195897546,44.82458279318638,7065.065435035833,6723.908375333485,4.948258868195065,141.59735863110274,729917,-0.007228121800577858,-0.01133808692035887,-0.016270322130768067,0
2019-01-16,6848.43310546875,6890.649088541667,6890.649088541667,6908.962237112434,-28.32812187953823,-24.80689419936235,-3.5212276801758797,41.550026075775875,7055.937777664936,6725.360399418398,4.797478060466749,136.1407282254768,305148,-0.00610456388182401,-0.024376414985864958,0.005833805391945557,0
2019-01-17,6872.791015625,6879.6765543619795,6889.275390625,6903.3974338066755,-29.115196047002428,-25.668554568890368,-3.44664147811206,44.096811655064016,7048.364559068363,6730.186222181637,4.618458674474037,131.0939490573289,767873,0.003556712868641343,-0.007488256673825244,0.01836496705673607,0
2019-01-18,6893.1201171875,6886.710530598958,6889.550013950893,6901.816308172956,-27.778357779523503,-26.090515211016996,-1.6878425685065075,46.20361499449552,7042.864962898427,6736.2350650033595,4.450652034953828,123.78821041777105,1102428,0.0029579106241237607,0.005115747962764372,0.017064021220932757,0
2019-01-21,6753.017578125,6887.057942708333,6880.4478515625,6878.924195857886,-37.59068581107658,-28.390549331028915,-9.200136480047668,36.1049008216842,7043.475475502435,6717.420227622564,4.738866639412522,131.925882212754,447891,-0.02032498152950568,-0.027035879818615993,-0.020870479416777776,0
2019-01-22,6622.28369140625,6874.125813802083,6864.312591552734,6839.441041326865,-55.27893735967427,-33.76822693675799,-21.510710422916283,29.602848291118775,7065.652298806413,6662.972884299056,5.866274432240981,133.15103735140366,-448630,-0.019359328656604613,-0.038925045159217464,-0.04982179653418217,0
2019-01-23,6600.314453125,6849.4053141276045,6848.78328929228,6802.652335449655,-70.2598265286224,-41.06654685513087,-29.193279673491524,28.668516663986253,7080.272595905149,6617.293982679411,6.760012598874036,129.8833934469277,-1151104,-0.0033174716313889574,-0.03622998845467551,-0.059723246207036174,0
2019-01-24,6595.818359375,6818.2637125651045,6834.729682074652,6770.831723745861,-81.55497137291422,-49.16423175868755,-32.390739614226675,28.470470136648316,7087.791908535795,6581.667455613509,7.405186107794302,124.72692995540538,-1671807,-0.000681193870675556,-0.04029988044454058,-0.04748636126967254,0
2019-01-25,6101.92333984375,6741.7952880859375,6796.160927220395,6667.922741607075,-128.87407534318027,-65.10620047558609,-63.76787486759417,15.666932977733055,7205.762508765785,6386.559345675005,12.053910610174906,179.9867674485817,-4734569,-0.07488002134401561,-0.11478064561372692,-0.11025208650492568,1
2019-01-28,6099.7216796875,6673.0517171223955,6761.33896484375,6580.507193619448,-164.65442797801097,-85.01584597607108,-79.6385820019399,15.633182258028611,7262.876632093236,6259.801297594263,14.83545403823951,189.37150058544756,-7132660,-0.0003608141291899791,-0.09674132946932001,-0.12116172233091027,1
2019-01-29,6114.61767578125,6611.100179036458,6730.542712983631,6508.831883182802,-189.62277946530867,-105.9372326739186,-83.68554679139007,16.936981464101123,7278.495948640911,6155.197606046589,16.72359635153897,186.52433979278766,-6031261,0.0024420779956821903,-0.07666026393339187,-0.11260130485708453,1
2019-01-30,6134.57177734375,6543.92578125,6703.453125,6451.253405361409,-205.4321546715637,-125.83621707344763,-79.59593759811607,18.74839783943777,7297.164267028953,6069.115225158546,18.375330885280277,175.36651494094752,-5447488,0.0032633441076019842,-0.07056371012152884,-0.10423717617318229,1
2019-01-31,6221.60302734375,6488.184651692708,6682.503120754076,6415.922577974076,-208.53464630413873,-142.37590291958585,-66.15874338455288,26.297897712067737,7301.747178300662,6011.807753339963,19.377836071342074,176.5663868466576,-4521218,0.014187013072603394,-0.056735239153357986,-0.09474869624302584,1
2019-02-01,6522.46484375,6461.0206298828125,6675.834859212239,6432.313695785757,-184.58853734221975,-150.81842980411264,-33.77010753810711,45.23993668074288,7289.031380116325,5999.023112071176,19.416059270431024,211.63903726535347,-1975799,0.04835760415506618,0.06891949971908673,-0.05377177056777205,1
