Date,Close,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_macd,trend_macd_signal,trend_macd_diff,momentum_rsi,volatility_bbh,volatility_bbl,volatility_bbw,volatility_atr,volume_obv,return_1d,return_5d,return_10d,Target
2019-01-15,1316.0728759765625,1303.9337380149148,1303.9337380149148,1303.4222538368235,7.161579048970907,5.246781604495396,1.9147974444755107,68.36449534463999,1322.6310669177299,1285.2364091120996,2.8678342093179663,18.44343290085046,5076611,0.01249476203632871,0.0033540467122663564,0.025081007998113636,1
2019-01-16,1300.908447265625,1303.6816304524739,1303.6816304524739,1303.0355143643314,6.430560133680956,5.483537310332508,0.9470228233484477,53.554035177635924,1321.6609007631807,1285.702360141767,2.758230213685947,18.96267574449143,3887014,-0.01152248404153533,-0.008737345452418,0.004662607872123248,1
2019-01-17,1300.7681884765625,1305.0896402994792,1303.45751953125,1302.6866949969824,5.773353044412488,5.541500457148504,0.23185258726398406,53.438720998980045,1320.8010857752784,1286.1139532872216,2.661163249917873,18.442432147624114,3033185,-0.00010781603375498161,-0.004834018730900391,0.000936414725485557,1
2019-01-18,1310.924560546875,1306.4274393717449,1303.9908796037946,1303.954058927735,6.00284893114258,5.63377015194732,0.36907877919526033,60.13291366887077,1321.1404049840617,1286.8413542235276,2.6303137005801407,18.634149530242244,4125374,0.007807980053853747,-0.002279806455682709,0.01053510560135873,0
2019-01-21,1331.1904296875,1309.0640360514324,1305.8041829427084,1308.1442698138528,7.730895395711514,6.053195200700159,1.6777001950113544,69.54263809853627,1327.2198548519232,1284.3885110334936,3.280074024721421,19.541521961668952,6638956,0.015459218440587286,0.024125154415450822,0.018696175701566675,0
2019-01-22,1317.0089111328125,1310.7099609375,1306.5044784545898,1309.5080607860004,7.865387351957679,6.415633630951664,1.4497537210060152,59.04097429410556,1327.9378961441025,1285.0710607650772,3.2810324102165165,22.904273213070475,1155188,-0.010653260599249204,0.0007112335291883376,0.004067665751935179,1
2019-01-23,1307.2740478515625,1310.7528788248699,1306.549747242647,1309.1643664883945,7.10455420860967,6.553417746483266,0.5511364621264043,53.11185459235859,1327.3463701302292,1285.753124355065,3.1834414160611098,24.30665284839767,-1547077,-0.007391645720055684,0.0048931964423148955,-0.0038869025577861205,1
2019-01-24,1312.235107421875,1310.7996826171875,1306.8656005859375,1309.6367881704684,6.8232503246028955,6.6073842621071925,0.21586606249570295,55.561083800777276,1327.243423800525,1286.48777737135,3.118579784401872,23.4673131129875,15723,0.003794965239664716,0.008815497678139161,0.003938864666340525,1
2019-01-25,1284.43359375,1308.4712219238281,1305.684968647204,1305.7593736442425,4.307313138811423,6.147370037448039,-1.8400568986366155,42.2439776278247,1327.9056870131064,1283.4642502813015,3.4036875508990443,26.774457999567325,-1597825,-0.021186381552080413,-0.020207849935944266,-0.022441586404887692,1
2019-01-28,1291.313720703125,1307.1568094889324,1304.96640625,1303.5369654994552,2.835893127528152,5.485074655464062,-2.6491815279359097,45.71180334054842,1327.5122159334258,1282.4205965665744,3.4553854529043604,26.357632560697517,-7061,0.005356545473898633,-0.029955675833499007,-0.006553206723150629,1
2019-01-29,1304.2313232421875,1306.3494160970051,1304.9314022972471,1303.6437897675678,2.681217331177095,4.924303190606668,-2.2430858594295735,51.58904786236648,1326.36284798987,1285.6058898030985,3.120784532912124,26.230550989915834,1054701,0.010003457976136776,-0.009701975273374908,-0.00899764211430032,1
2019-01-30,1301.51708984375,1306.4898579915364,1304.7762062766335,1303.3166051639034,2.31295736400466,4.402034025286267,-2.0890766612816067,50.35547447179442,1326.169394975495,1286.46395463388,3.039495790525031,27.791752811265678,-258451,-0.0020810981534243878,-0.004403788186014834,0.00046785965561557674,1
2019-01-31,1322.297607421875,1307.0085856119792,1305.5380063264267,1306.2367593574374,3.655781215170009,4.2527834632630155,-0.5970022480930064,58.53114494206536,1328.2116514677546,1286.6963319306828,3.1752795739387185,27.3152892479769,997599,0.01596638087988511,0.007668214288039987,0.01655131109143082,1
2019-02-01,1364.046875,1312.2701212565105,1307.9758758544922,1315.130623302447,7.996615763310501,5.001549923272513,2.995065840037988,69.42526023882141,1342.5114385245877,1279.07545112385,4.839510576683171,30.335941436493034,3075138,0.031573276200298706,0.0619831820324499,0.04052278525544151,0
2019-02-04,1353.890380859375,1316.6969706217449,1309.8124560546876,1321.0936629265898,10.49622032669481,6.100484003956973,4.395736322737838,64.95471736133698,1349.919991385101,1276.3800330289616,5.600270926589689,29.47404561843439,2339979,-0.007445854190769707,0.048459688109080634,0.017052369567593706,0
2019-02-05,1357.6346435546875,1320.5894775390625,1311.6517709585337,1326.7153522539895,12.633672546332036,7.407121712431986,5.22655083390005,65.82832453856548,1356.9962061647882,1273.8999364133367,6.31695553516012,28.754501321441957,3126941,0.0027655582373928844,0.04094620284057027,0.030846968519697482,1
2019-02-06,1375.4671630859375,1324.2792053222656,1315.1746591421274,1334.2156308435199,15.586878293026757,9.04307302855094,6.543805264475816,69.70206671534977,1367.6435861362065,1269.561760543481,7.438315390662566,28.298826608555864,4215855,0.013134991520663553,0.05681836513653882,0.05216436090538701,0
2019-02-07,1378.32177734375,1329.3886108398438,1318.384305513822,1341.0011918435553,17.950733752820952,10.824605173404944,7.126128579416008,70.2828196914694,1377.309848577575,1267.0190088443,8.341688623464517,27.322374583529665,4913267,0.002075377976605397,0.04236880533354892,0.05036191270001478,0
2019-02-08,1356.183837890625,1333.4644266764324,1320.562481219952,1343.3369835431045,17.832201022748677,12.22612434327369,5.606076679474986,60.58415505312948,1381.2076202845028,1267.3476165319034,8.597895348368146,27.86639559607925,3894749,-0.016061517576678175,-0.005764491861304233,0.05586138862278189,0
2019-02-11,1345.231689453125,1336.2141418457031,1322.4076303335337,1343.6284767600307,16.662441874284696,13.113387849475892,3.549054024808804,56.43501388452169,1383.0162640086476,1270.0789630421339,8.513625882328876,27.916064335687043,3166698,-0.008075710778661649,-0.006395415410776373,0.04175435286217,0
2019-02-12,1359.272705078125,1342.4507344563801,1324.4273869441106,1346.0352811166606,16.676159549997692,13.825942189580253,2.850217360417439,60.198437947999885,1386.6928490787716,1270.7223608821657,8.728066864516107,27.15105990921745,4114281,0.010437618839255869,0.0012065554832547676,0.042202162189380665,0
2019-02-14,1309.7542724609375,1343.9874471028645,1324.3535719651443,1340.4535874773185,12.546676955524163,13.570089142769035,-1.0234121872448725,45.32693191698301,1386.4106434908085,1271.88914898966,8.616145915904246,29.64053250778785,3198840,-0.03643009414681164,-0.04777496140116455,0.006328908534098732,0
2019-02-15,1304.512451171875,1344.0108744303386,1324.0511615459736,1334.9241818918656,8.75019428488008,12.606110171191245,-3.8559158863111644,44.08538156491199,1386.2488783990395,1272.4253403509604,8.562428389710293,29.751479466773766,2085617,-0.004002141011697935,-0.053550141472855195,-0.013450191658953559,0
2019-02-18,1291.8287353515625,1343.2035115559895,1323.4643179086538,1328.2941131933574,4.66421834603284,11.017731806159565,-6.353513460126726,41.148344943172184,1387.10943435257,1269.6552018778987,8.841899720655748,32.083865567796785,625335,-0.00972295496981912,-0.04745308175856078,-0.05294403071627396,0
