Date,Close,High,Low,Open,Volume
2019-01-01,1561.0003662109375,1566.9069912517134,1546.3977374395183,1555.421809116884,1094883
2019-01-02,1577.81787109375,1586.9649176971325,1558.7032074921071,1562.8050580381391,2100463
2019-01-03,1558.6624755859375,1595.5791382370276,1553.0429591887316,1574.2905694987082,2611668
2019-01-04,1539.7117919921875,1559.6877863615216,1510.301540309675,1558.7033821772852,4280862
2019-01-07,1556.9803466796875,1565.9224003035415,1543.1160727281522,1551.9761093751106,1856423
2019-01-08,1553.41162109375,1563.9533553448832,1545.002828769478,1563.1329853620273,1691756
2019-01-09,1547.9976806640625,1574.2905885497728,1531.385182270038,1564.7743132020141,2414376
2019-01-10,1549.3099365234375,1562.804984124493,1535.8147887795512,1550.4994330683949,3053461
2019-01-11,1511.5731201171875,1538.1940924873643,1505.3792851809674,1534.0922415740647,9209862
2019-01-14,1487.5362548828125,1518.5052297190603,1484.870051751215,1517.6848595247225,3615370
2019-01-15,1532.287353515625,1533.55886711868,1483.2291801761164,1484.869920419674,7711653
2019-01-16,1534.2158203125,1538.1945969747658,1515.2242243266094,1534.0927447161664,2359280
2019-01-17,1557.3585205078125,1560.4003567187904,1538.4495593884594,1543.9577818323962,2625816
2019-01-18,1562.57861328125,1565.497109353236,1542.3131249106864,1546.4237675676977,1683728
2019-01-21,1569.1964111328125,1588.3520426808016,1558.3032100119426,1563.6881910863792,2409803
2019-01-22,1563.606201171875,1577.0479819631953,1553.8228520320288,1567.8812291932031,2457093
2019-01-23,1541.984130859375,1567.059049074022,1537.3802315209684,1562.8662139686423,2578169
2019-01-24,1563.3187255859375,1566.360561352664,1541.491170469096,1549.548071129747,1962927
2019-01-25,1579.1444091796875,1590.818593339237,1562.866225290899,1563.6883537629087,2327080
2019-01-28,1607.2613525390625,1613.0162525225783,1583.0085597513887,1589.1745240194414,2769033
2019-01-29,1630.07568359375,1635.2551345584102,1592.175570509951,1613.0165130303556,2557626
2019-01-30,1628.9656982421875,1635.6249201173832,1606.9737572453841,1627.4858265554776,2429575
2019-01-31,1655.8492431640625,1660.4942899657547,1631.925320253508,1633.5695775031338,4094319
2019-02-01,1668.8800048828125,1672.8262625267973,1642.695227577987,1652.067514214326,3064163
2019-02-04,1685.5693359375,1689.844364955271,1663.1663292776796,1668.8800834937877,1590764
2019-02-05,1680.8831787109375,1689.4743829972904,1667.2769093520706,1685.363739729657,1111404
2019-02-06,1705.752685546875,1715.659376633158,1678.005841618602,1685.2815602641167,1789812
2019-02-07,1712.4112548828125,1724.784328101942,1699.3394929155963,1705.7109883534754,1339945
2019-02-08,1694.7354736328125,1717.8373629151629,1686.1854182048332,1705.9165006216622,1684474
2019-02-11,1698.4351806640625,1723.1813286951458,1684.45899622331,1693.5847028206108,1778730
2019-02-12,1686.6790771484375,1701.8061627535862,1659.0554765394863,1701.8061627535862,2422903
2019-02-14,1680.9239501953125,1705.9166772491587,1671.4284260135494,1693.6258960307673,1724085
2019-02-15,1668.6741943359375,1687.007700227012,1653.2592847943895,1684.5413147003644,1930065
2019-02-18,1619.83984375,1678.745271218386,1613.5505405756287,1675.1690322706013,2942184
2019-02-19,1565.9908447265625,1620.4157264984212,1555.4675568417113,1619.5935977685895,4408554
2019-02-20,1574.1707763671875,1589.8323667333464,1546.6706141498355,1574.3763085223472,4645778
2019-02-21,1573.7186279296875,1594.9295873268284,1559.6192018122583,1574.1708388319817,4683919
2019-02-22,1583.1318359375,1586.7080749987717,1566.2370543741813,1576.1847895915364,2271955
2019-02-25,1632.04833984375,1636.0356428213415,1587.1189992294471,1588.7632561569058,2934880
2019-02-26,1676.0736083984375,1681.3763983098481,1621.4432007337273,1631.103212197092,6453309
2019-02-27,1692.0230712890625,1705.875818747141,1662.3441464497298,1677.142462293496,4732082
2019-02-28,1630.6510009765625,1702.9162284233387,1625.8415685332275,1693.5849881299243,8454295
2019-03-01,1640.4755859375,1648.3680011833858,1628.1025091771364,1640.1878609713879,4148548
2019-03-05,1634.4737548828125,1650.0120045939846,1625.0192765306297,1648.3677474892572,2449622
2019-03-06,1643.928466796875,1656.589268373563,1631.9665548749824,1635.4606017189465,2635047
2019-03-07,1655.1915283203125,1664.0294106517613,1644.4215635187843,1648.3678208888473,2539884
2019-03-08,1662.91943359375,1671.387398085137,1652.5195873741968,1664.810369465028,2031071
2019-03-11,1656.4248046875,1671.3875056179122,1647.2580503869597,1668.0167983047425,3111689
2019-03-12,1654.49267578125,1664.6460443684045,1646.7236005844964,1655.8081618390568,2658550
2019-03-13,1644.6680908203125,1657.3288899963497,1626.6634563079433,1654.9446972363355,1833163
2019-03-14,1633.898193359375,1650.6696347527356,1628.6365509123918,1648.3264882526657,1905495
2019-03-15,1677.1009521484375,1700.9426780615488,1636.8578032070573,1643.3526382686769,5184318
2019-03-18,1663.0018310546875,1697.36684789341,1653.3006730884936,1679.6087892191906,2349915
2019-03-19,1663.0018310546875,1668.921117041095,1640.2288078145536,1668.921117041095,2373993
2019-03-20,1656.6302490234375,1681.0885744814625,1644.2571736487334,1667.2767740798158,3091165
2019-03-22,1648.9024658203125,1657.4114778897629,1630.5279092396138,1656.589349180492,3148149
2019-03-25,1631.30908203125,1650.6702555404347,1625.5130338104693,1650.6702555404347,2429205
2019-03-26,1629.9932861328125,1640.105407681387,1609.7689426781678,1631.1031396694555,2316539
2019-03-27,1617.86669921875,1642.6127470583933,1612.193992483238,1639.3242330502685,2266166
2019-03-28,1644.5042724609375,1656.2606540412298,1621.8957305478527,1627.8150177420891,4054489
2019-04-01,1670.277587890625,1677.101195046442,1651.039758606433,1652.4784836543909,2095740
2019-04-02,1709.451904296875,1714.9601253426604,1674.6758270963562,1674.7580198784226,3719663
2019-04-03,1709.451904296875,1717.91986835695,1692.022819484326,1714.1379968070214,2939886
2019-04-04,1656.177978515625,1709.7807203032417,1650.3408858308753,1708.5063808965576,4397518
2019-04-05,1683.9658203125,1688.980683654959,1659.7130299424366,1667.8109754690802,3152103
2019-04-08,1702.4224853515625,1705.9165312589603,1671.140457731751,1692.7624760781684,2194294
2019-04-09,1719.482177734375,1724.8260142896097,1691.6530409261081,1701.8064106670602,2690970
2019-04-10,1677.34765625,1714.5489705229138,1673.853610158069,1712.4936492923662,3313062
2019-04-11,1660.2889404296875,1689.4745098207516,1655.479507517028,1681.2532226683393,3422442
2019-04-12,1656.177978515625,1676.3201281674656,1650.0120143364902,1675.4979996102477,3198471
2019-04-15,1737.404296875,1742.748132425446,1677.964362840118,1701.8060906805704,9189201
2019-04-16,1752.614013671875,1772.468341613996,1739.2544222140252,1742.91285480871,5771952
2019-04-18,1767.617431640625,1771.6869275958215,1738.144044461687,1767.4939919359422,3413728
2019-04-22,1776.98974609375,1788.9517568535753,1763.9591287717606,1765.9321570411212,2007135
2019-04-23,1771.728759765625,1780.3199658211063,1754.4640544863623,1778.2646437640512,2163524
2019-04-24,1795.0767822265625,1804.5724083909372,1772.5916838084165,1774.1536479761469,3003071
2019-04-25,1804.5721435546875,1812.7934289467362,1782.4158195661114,1788.1295727705901,4211526
2019-04-26,1840.3758544921875,1844.8152682525613,1803.0510989326715,1811.1491452106372,2716958
2019-04-30,1858.2987060546875,1863.724635100349,1833.4293126291107,1840.3762600711032,3488395
2019-05-02,1821.34375,1857.517410978868,1817.8087573399778,1853.900125166983,2457699
2019-05-03,1752.7784423828125,1797.2145401293772,1747.0235413055705,1796.3512648247865,3780886
2019-05-06,1774.030517578125,1779.9086575700053,1733.4583854440443,1734.6915785093354,2891422
2019-05-07,1769.1796875,1795.8167758769696,1758.368776165142,1775.8390097729923,2201698
2019-05-08,1769.91943359375,1782.3746001677919,1751.4624880707768,1768.3984155723801,1824895
2019-05-09,1786.115478515625,1795.6111037145256,1756.1489320536266,1763.4657960964246,2264162
2019-05-10,1755.9019775390625,1802.1055561251942,1747.7218396330359,1788.1293725238581,2039633
2019-05-13,1750.1060791015625,1781.5524948505395,1744.2688863497515,1753.6001252958933,1701744
2019-05-14,1720.1807861328125,1775.6333177915546,1703.738214805388,1755.2444892025521,2456110
2019-05-15,1722.6881103515625,1746.2010675356337,1713.7269893022733,1724.0035963381467,2346876
2019-05-16,1733.6636962890625,1746.2011575188944,1707.602259646115,1723.1815565723177,1946529
2019-05-17,1722.72900390625,1755.244223935254,1718.2484440396631,1736.8286271176516,1947908
2019-05-20,1762.6025390625,1768.7273568756493,1685.36359867127,1747.023242525097,2625116
2019-05-21,1734.485595703125,1766.5074605027257,1728.5663106705938,1765.9731572659211,1863157
2019-05-22,1711.466064453125,1744.5155911606244,1705.9166968849452,1734.691195386619,2595795
2019-05-23,1688.693115234375,1739.0896333127168,1685.3634546078874,1724.8256233011452,2541294
2019-05-24,1683.7193603515625,1701.806189417839,1670.7708349972963,1701.806189417839,2274208
2019-05-27,1689.5975341796875,1700.942949151592,1677.2245588017913,1689.3099095949065,2329820
2019-05-28,1704.88916015625,1724.414714130312,1681.2529632402802,1693.5848920660035,5872979
2019-05-29,1732.677001953125,1745.9542972611837,1707.6432286695724,1710.0273210908742,3281320
2019-05-30,1764.534423828125,1772.9612408773596,1738.3084044849427,1745.3787898073595,4971725
2019-05-31,1805.8466796875,1812.7524798832446,1769.4263412895912,1775.7978381626283,4265370
2019-06-03,1843.4586181640625,1847.8568848342381,1796.8849221899413,1809.504673872533,3682419
2019-06-04,1809.313720703125,1843.2108171145132,1802.6005068453535,1843.2108171145132,2408658
2019-06-06,1795.223876953125,1822.4907102360526,1783.5379756380105,1822.4907102360526,3735467
2019-06-07,1808.1943359375,1814.8660685810366,1775.3332249768291,1801.771278252836,2659446
2019-06-10,1849.42626953125,1853.0315506786822,1811.3023132693465,1820.5846273696077,2080593
2019-06-11,1867.0791015625,1876.3199348363219,1849.0116234473396,1853.9843127080676,3048937
2019-06-12,1873.792724609375,1878.7654154994057,1839.066847496384,1860.6151746865175,2404448
2019-06-13,1868.1571044921875,1893.766380740218,1858.9990252903317,1876.3619632366974,3320916
2019-06-14,1868.488037109375,1875.6156394995614,1851.498015037633,1870.767186411682,2131408
2019-06-17,1864.095458984375,1874.7039035038824,1857.6724018437228,1869.731214104668,1489497
2019-06-18,1865.4630126953125,1873.0462828605773,1849.1773340093725,1859.7857782031572,1877447
2019-06-19,1872.9637451171875,1886.3072118661921,1859.081651181002,1868.9027955879892,1652817
2019-06-20,1887.923095703125,1892.9372650912069,1833.2649870322898,1848.183056547019,2199377
2019-06-21,1864.63427734375,1899.9817300110924,1858.1282611493432,1893.7658682989513,3871804
2019-06-24,1885.89208984375,1889.6216061717205,1865.421229578065,1868.1975258853613,1382424
2019-06-25,1879.5111083984375,1885.0224255585645,1865.173145064722,1881.3343876013857,1386077
2019-06-26,1868.23974609375,1878.6824768878091,1864.758903275494,1877.1906292973306,1762224
2019-06-27,1866.871826171875,1876.3613339699095,1857.5480342075812,1868.9023003984744,2813464
2019-06-28,1845.8624267578125,1874.6625887262446,1841.9671935205831,1873.0465049973084,2372928
2019-07-01,1856.098388671875,1868.9030274832207,1828.7900678290628,1852.3273908758308,2769940
2019-07-02,1866.4993896484375,1870.5603391344146,1836.9531999727599,1860.531999402277,1771746
2019-07-03,1854.5230712890625,1872.0519235797328,1849.8405361721793,1866.5818840693269,1656881
2019-07-04,1858.666748046875,1866.4159359992616,1848.2657021044113,1851.4978690152532,984140
2019-07-05,1792.7376708984375,1864.7587154621335,1773.5927338173183,1862.2723705081842,4088470
2019-07-08,1802.9317626953125,1814.0375597009206,1767.0456743004895,1781.0520051315098,2788062
2019-07-09,1768.0810546875,1802.1023726354208,1744.2121075498383,1801.770940978476,3977224
2019-07-10,1747.23779296875,1763.523477140115,1716.6558247375021,1723.8661861057553,6343581
2019-07-11,1742.5546875,1764.4759190180728,1728.8797919322224,1763.6471374685107,2400346
2019-07-12,1746.740234375,1756.8098501864417,1734.7229008084457,1742.1819354359623,1560725
